Rating_ID,Game_ID,Rating_score
RA1,GA1,5
RA2,GA2,4.4
RA3,GA3,2.5
RA4,GA4,3.5
RA5,GA5,0.5
RA6,GA6,1.5
RA7,GA7,2.5
RA8,GA8,4.5
RA9,GA9,3
RA10,GA10,2
RA11,GA11,3
RA12,GA12,2
RA13,GA13,4.5
RA14,GA14,2
RA15,GA15,0.5
RA16,GA16,3
RA17,GA17,1
RA18,GA18,0
RA19,GA19,1
RA20,GA1,5
RA21,GA2,4
RA22,GA3,2
RA23,GA4,1
RA24,GA5,4
RA25,GA6,2.5
RA26,GA7,1
RA27,GA8,1
RA28,GA9,1.5
RA29,GA10,0.5
RA30,GA11,4.5
RA31,GA12,2.5
RA32,GA13,4
RA33,GA14,2
RA34,GA15,4.5
RA35,GA16,2.5
RA36,GA17,3.5
RA37,GA18,1
RA38,GA19,1.5
RA39,GA1,0
RA40,GA2,4
RA41,GA3,0.5
RA42,GA4,2
RA43,GA5,2.5
RA44,GA6,4
RA45,GA7,0
RA46,GA8,0
RA47,GA9,4
RA48,GA10,1.5
RA49,GA11,2
RA50,GA12,3
RA51,GA13,0.5
RA52,GA14,2.5
RA53,GA15,3
RA54,GA16,4.5
RA55,GA17,2.5
RA56,GA18,4
RA57,GA19,2.5
RA58,GA1,1.5
RA59,GA2,1.5
RA60,GA3,2
RA61,GA4,3
RA62,GA5,3
RA63,GA6,1.5
RA64,GA7,1
RA65,GA8,3.5
RA66,GA9,2
RA67,GA10,4
RA68,GA11,2.5
RA69,GA12,3
RA70,GA13,2
RA71,GA14,1.5
RA72,GA15,2.5
RA73,GA16,1.5
RA74,GA17,4
RA75,GA18,3
RA76,GA19,4.5
